 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
87, , , , , , , , ,2,14,R,-18,2,4,11,LATE OFF, ,13 BLF,12/13/BLF,11,INC, ,P,0, , ,ERLY OFF, , ,UND,4, ,6,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.002
89, , , , , , , , ,15,16,M,-25,2,10,11,ERLY OFF BCH, ,12 BLF,12/13/BLF,16,R, ,R,-1, , ,BCH 3X1, , ,OVR G S,4, ,6 CHOP,NCCU,RICHMOND,23 1528 11-25-2023 VARI D vs NCCE.015
90, , , , , , , , ,15,14,R,-46,1,10,11,LATE OFF, ,13 BLF,12/13/BLF,14,SACK, ,P,-2, , ,ERLY OFF, ,CHOP,UND G,5, ,6 CHOP,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.015
91, , , , , , , , ,24,14,R,-24,2,10,11,PLN OFF,H MV,13 BLF,12/13/BLF,76,FALSTR, ,X, , , , , , ,UND +, , , ,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.024
92, , , , , , , , ,3, , , , , ,11,ERLY FLX,Y QK,13 BLF,12/13/BLF, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.003
93, , , , , , , , ,61, , , , , ,11,LATE OFF, ,13 BLF,12/13/BLF, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.061
94, , , , , , , , ,55,14,R,32,3,4,11,LATE OFF, ,13 BLF,12/13/BLF,14,R+, ,R,9, , ,ERLY OFF, ,BULLETS,HEADS, , ,0,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.055
95, , , , , , , , ,8,16,L,18,2,18,11,LATE OFF BCH,H QK,13 BLF H FLAT,12/13/BLF/FLAT,2,R+, ,R,10, , ,ERLY OFF,X, ,RUSH,4, ,4,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.008
96, , , , , , , , ,6,16,L,42,1,10,11,LATE OFF,H QK,13 BLF H FLAT,12/13/BLF/FLAT,3,C+, ,P,8, , ,ERLY OFF, , ,RUSH STK,4, ,11,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.007
97, , , , , , , , ,51,16,R,-43,1,10,11,ERLY OFF,H QK,12 BLF H FLAT,12/13/BLF/FLAT,11,C+, ,P,6, , ,ERLY OFF,X, ,UND G, , ,11,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.051
98, , , , , , , , ,46,16,L,-49,1,10,11,LATE OFF,H QK,13 BLF H FLAT,12/13/BLF/FLAT,9,R, ,R,1, , ,ERLY OFF, , , , , ,1,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.046
99, , , , , , , , ,31,12,L,-43,1,10,11,LATE OFF,H QK,13 BLF H FLAT,12/13/BLF/FLAT,12,SACK, ,P,-4, , ,ERLY OFF, , ,UND G,4, ,3 WK,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.031
100, , , , , , , , ,32,14,L,9,2,6,21,LATE OFF,H QK,13 BLF H FLAT,12/13/BLF/FLAT,14,SACK, ,P,-4, , ,ERLY OFF, , ,OVR G STK,4, ,6,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.032
101, , , , , , , , ,1, , ,-20,1,10,11,LATE OFF,H QK,13 BLF FLAT,12/13/BLF/FLAT, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.001
102, , , , , , , , ,19,16,L,-49,2,4,11,ERLY OFF BCH, ,12 BLF ROSCOE,12/13/BLF/ROSCOE,4,R++15, ,R,18, , ,BCH 3X1 OFF, , , , , ,11,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.019
103, , , , , , , , ,56,16,R,34,2,6,11,LAWN, ,13 CUB,12/13/CUB,2,R+, ,R,27, , ,RAKE, ,CHOP,BEAR MO 1,5,SLANT,6 CONE CHOP,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.056
104, , , , , , , , ,1,14,L,-34,0,10,11,ERLY OFF, ,SUGAR (13 CUB),12/13/CUB,9,R, ,R,7, , , , , ,UND TITE, , ,4 POACH,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.001
105, , , , , , , , ,21,14,R,30,2,2,11,LATE OFF BCH, ,12 CUB,12/13/CUB,9,R, ,R,7, , ,BCH 3X1 OFF,N, ,UGW, , ,4 POACH,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.021
